,Id,LeftLaneId,LeftLaneDir,RightLaneId,RightLaneDir,Type
0,{beb03b7b-9b41-4612-92d0-d0333619d8f4},,,{1de22cab-f663-4f61-b310-cb81b2e7874e},Forward,LaneBoundary
1,{0ca69900-cca5-40cb-acee-84b68f41035e},{1de22cab-f663-4f61-b310-cb81b2e7874e},Forward,,,LaneBoundary
2,{b201f393-efef-4ad7-913d-094760223cbb},,,{3e50144f-e809-4c8d-9a8c-63469b3a34c7},Forward,LaneBoundary
3,{b550e64d-0343-4320-8772-04f4937a096c},{3e50144f-e809-4c8d-9a8c-63469b3a34c7},Forward,,,LaneBoundary
4,{83e43c86-59eb-4077-8416-fa0d73e229f9},,,{a1914b29-9c54-4158-85d1-ac753be53d41},Forward,LaneBoundary
5,{675a4cad-d5f7-4f06-8b8d-4f2496fe1afc},{a1914b29-9c54-4158-85d1-ac753be53d41},Forward,,,LaneBoundary
6,{fb963c44-9d46-4ff4-94b3-8ffb1e831e3a},,,{11197512-5caa-4bdb-b7a1-e8fd624e1c18},Forward,LaneBoundary
7,{f2512f7a-eea3-4b26-88ac-eed501f9137c},{11197512-5caa-4bdb-b7a1-e8fd624e1c18},Forward,,,LaneBoundary
8,{83052f5f-3549-43e8-95c6-56409f327e9e},,,{26ebadee-69a8-4cb8-a729-1dc51e29c100},Forward,LaneBoundary
9,{85f527c5-2f6f-45e0-97b9-2d86c9969879},{26ebadee-69a8-4cb8-a729-1dc51e29c100},Forward,,,LaneBoundary
10,{6dd2e09f-0ed2-4cc2-9dc0-df897517f1a4},,,{68194152-aaa3-46a5-abde-f93c5b86346c},Forward,LaneBoundary
11,{02274b5b-b2aa-4fef-9dbc-195764d2decd},{68194152-aaa3-46a5-abde-f93c5b86346c},Forward,,,LaneBoundary
12,{3965091c-90a0-45b1-9400-3f1189645571},,,{960a35d0-9178-4260-a6cf-5c2146993d32},Forward,LaneBoundary
13,{18553321-f00d-45e9-93d0-21c6e48c63af},{960a35d0-9178-4260-a6cf-5c2146993d32},Forward,{4558bdf7-7637-4c80-b219-b4a6d720872d},Forward,LaneBoundary
14,{39d9d7e4-a07e-4323-a02b-df18d6f22e88},{4558bdf7-7637-4c80-b219-b4a6d720872d},Forward,{83251f42-a1dc-41b4-99cf-e2372da6950f},Forward,LaneBoundary
15,{99602bac-c07a-4439-9cf5-2bb8dde387d6},{83251f42-a1dc-41b4-99cf-e2372da6950f},Forward,{1db61eed-505f-4807-a5fb-bfd2f2dee318},Forward,LaneBoundary
16,{ba30cb43-52ea-47d6-980c-4b0e48378367},{1db61eed-505f-4807-a5fb-bfd2f2dee318},Forward,,,LaneBoundary
17,{ea3e943e-8edf-49de-8cc4-97b875833cfa},,,{83dcb007-d10e-494d-a656-c7bb0f738f2d},Forward,LaneBoundary
