Road Id,Id,type,roadmark type,roadmark material,roadmark color,roadmark laneChange
0,0,none,none,standard,white,none
1,0,none,none,standard,white,none
2,0,none,none,standard,white,none
3,0,none,none,standard,white,none
4,0,none,none,standard,white,none
5,0,none,none,standard,white,none
6,0,none,none,standard,white,none
7,0,none,none,standard,white,none
8,0,none,none,standard,white,none
9,0,none,none,standard,white,none
10,0,none,none,standard,white,none
11,0,none,none,standard,white,none
12,0,none,none,standard,white,none
13,0,none,none,standard,white,none
15,0,none,none,standard,white,none
16,0,none,none,standard,white,none
17,0,none,none,standard,white,none
18,0,none,none,standard,white,none
20,0,none,none,standard,white,none
21,0,none,none,standard,white,none
23,0,none,none,standard,white,none
25,0,none,none,standard,white,none
29,0,none,none,standard,white,none
30,0,none,none,standard,white,none
31,0,none,none,standard,white,none
32,0,none,none,standard,white,none
34,0,none,none,standard,white,none
35,0,none,none,standard,white,none
37,0,none,none,standard,white,none
38,0,none,none,standard,white,none
40,0,none,none,standard,white,none
41,0,none,none,standard,white,none
42,0,none,none,standard,white,none
43,0,none,none,standard,white,none
45,0,none,none,standard,white,none
46,0,none,none,standard,white,none
51,0,none,none,standard,white,none
52,0,none,none,standard,white,none
53,0,none,none,standard,white,none
55,0,none,none,standard,white,none
57,0,none,none,standard,white,none
59,0,none,none,standard,white,none
62,0,none,none,standard,white,none
63,0,none,none,standard,white,none
64,0,none,none,standard,white,none
65,0,none,none,standard,white,none
67,0,none,none,standard,white,none
68,0,none,none,standard,white,none
71,0,none,none,standard,white,none
72,0,none,none,standard,white,none
73,0,none,none,standard,white,none
74,0,none,none,standard,white,none
75,0,none,none,standard,white,none
76,0,none,none,standard,white,none
79,0,none,none,standard,white,none
80,0,none,none,standard,white,none
81,0,none,none,standard,white,none
82,0,none,none,standard,white,none
83,0,none,none,standard,white,none
84,0,none,none,standard,white,none
88,0,none,none,standard,white,none
89,0,none,none,standard,white,none
90,0,none,none,standard,white,none
91,0,none,none,standard,white,none
92,0,none,none,standard,white,none
94,0,none,none,standard,white,none
