Road Id,rightBoundary,leftBoundary
0,-2,2
1,-2,2
2,-2,2
3,-2,2
4,-2,2
5,-2,2
6,-2,2
7,-2,2
8,-2,2
9,-2,2
10,-2,2
11,-2,2
12,-2,2
13,-2,2
15,0,1
16,-1,0
17,0,1
18,0,1
20,0,2
21,-2,0
23,-1,0
25,-1,0
29,0,2
30,-2,0
31,-1,0
32,0,1
34,-1,0
35,0,1
37,-1,0
38,0,1
40,-1,0
41,0,1
42,-1,0
43,-1,0
45,0,2
46,-2,0
51,-2,0
52,0,2
53,0,1
55,0,1
57,0,1
59,-1,0
62,0,1
63,-1,0
64,0,1
65,0,1
67,0,2
68,-2,0
71,0,2
72,-2,0
73,-1,0
74,-1,0
75,0,1
76,-1,0
79,0,2
80,-2,0
81,-1,0
82,-1,0
83,0,1
84,-1,0
88,0,2
89,-2,0
90,0,1
91,-1,0
92,0,1
94,0,1
