Road Id,Id,type,roadmark type,roadmark material,roadmark color,roadmark laneChange,max speed,speed unit,laneId,travelDir
0,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{960a35d0-9178-4260-a6cf-5c2146993d32},undirected
0,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{4558bdf7-7637-4c80-b219-b4a6d720872d},backward
1,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{54ab80e6-916d-4b3b-8567-1b95006859a3},undirected
1,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{c61c8b7e-66a4-49f8-890d-3d849476b0cb},backward
2,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{85f58087-370f-4e96-ba3f-ec1e9f69cdca},undirected
2,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{435180cc-4fb8-4c54-8eed-34e4ef6b294f},backward
3,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{04a22576-48b8-4141-8495-2e3e53cf7b32},undirected
3,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{37abcf72-513c-48f0-8986-4d7ca43e6637},backward
4,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{e2095223-a33f-49a8-9717-c8ad1eae0f58},undirected
4,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{f1f86b95-6b45-4774-8668-1414935b28a8},backward
5,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{afed37b7-9d89-4662-8ad9-208d229e7639},undirected
5,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{3962262f-84dc-42b3-a247-8042a5b67045},backward
6,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{e1306eae-e2ba-4341-9514-64114e0fcb7f},undirected
6,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{01d7594f-1bd6-43ce-9f8a-9966ec9266a6},backward
7,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{7d5a1639-1aa0-442b-90d7-be8d8946b129},undirected
7,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{46608140-e846-4912-bb16-d917e6b10544},backward
8,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{d4ec1e47-4461-43be-8bee-91e35d8ee5ba},undirected
8,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{31c7a7d0-dcdf-4b8f-9989-8ef282034d83},backward
9,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{971b012d-aed1-4deb-bc88-62f177c2d7df},undirected
9,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{261edbde-be1a-4ad9-9365-80dc67ee0587},backward
10,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{bc29a828-37e2-4878-9581-5d9797c09c1f},undirected
10,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{fd98e12a-1bf3-4520-aef3-415b5e42979c},backward
11,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{3f13eeb9-5c99-48f6-8768-db10f83b9e81},undirected
11,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{9641e7e9-dfa9-45f6-ac4a-118c1bfd9954},backward
12,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{cd3185ff-3621-49df-8ce9-eede47976b92},undirected
12,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{a65294c1-a13e-4ea2-954e-2dd9c4177e34},backward
13,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{bc49bb3f-518c-4465-ae26-a6c8fc7359b6},undirected
