Road Id,elementType,elementId,contactPoint
0,junction,36,
1,junction,39,
2,junction,47,
3,junction,69,
4,junction,77,
5,junction,33,
6,junction,14,
7,junction,61,
8,junction,85,
9,junction,61,
10,junction,22,
11,junction,14,
12,junction,85,
13,junction,47,
15,road,5,end
16,road,5,end
17,road,11,start
18,road,6,start
20,road,5,end
21,road,5,end
23,road,12,end
25,road,9,end
29,road,9,end
30,road,9,end
31,road,12,end
32,road,12,end
34,road,4,end
35,road,4,end
37,road,7,end
38,road,7,end
40,road,13,end
41,road,13,end
42,road,0,end
43,road,13,end
45,road,0,end
46,road,0,end
51,road,1,end
52,road,1,end
53,road,13,start
55,road,2,start
57,road,1,end
59,road,1,end
62,road,6,end
63,road,6,end
64,road,9,start
65,road,7,start
67,road,6,end
68,road,6,end
71,road,2,end
72,road,2,end
73,road,10,end
74,road,2,end
75,road,10,end
76,road,10,end
79,road,3,end
80,road,3,end
81,road,8,end
82,road,3,end
83,road,8,end
84,road,8,end
88,road,11,end
89,road,11,end
90,road,11,end
91,road,11,end
92,road,8,start
94,road,12,start
