Road Id,elementType,elementId,contactPoint
0,junction,39,
1,junction,47,
2,junction,69,
3,junction,77,
4,junction,33,
5,junction,14,
6,junction,61,
7,junction,36,
8,junction,77,
9,junction,22,
10,junction,69,
11,junction,85,
12,junction,22,
13,junction,39,
15,road,11,start
16,road,11,start
17,road,6,start
18,road,11,start
20,road,6,start
21,road,6,start
23,road,9,end
25,road,12,end
29,road,10,start
30,road,10,start
31,road,10,start
32,road,10,start
34,road,5,start
35,road,5,start
37,road,0,start
38,road,0,start
40,road,1,start
41,road,1,start
42,road,13,end
43,road,0,end
45,road,1,start
46,road,1,start
51,road,2,start
52,road,2,start
53,road,2,start
55,road,13,start
57,road,13,start
59,road,13,start
62,road,9,start
63,road,9,start
64,road,7,start
65,road,9,start
67,road,7,start
68,road,7,start
71,road,3,start
72,road,3,start
73,road,2,end
74,road,10,end
75,road,3,start
76,road,3,start
79,road,4,start
80,road,4,start
81,road,3,end
82,road,8,end
83,road,4,start
84,road,4,start
88,road,12,start
89,road,12,start
90,road,8,start
91,road,8,start
92,road,12,start
94,road,8,start
